name,ring,quadrant,isNew,description
Node.js,Применение,Языки и фреймворки,FALSE,
Jest,Применение,Языки и фреймворки,FALSE,
.NET,Применение,Языки и фреймворки,FALSE,
NUnit,Применение,Языки и фреймворки,FALSE,
xUnit,Применение,Языки и фреймворки,FALSE,
Cypress,Применение,Тестирование интерфейса,FALSE,
Selenium,Применение,Тестирование интерфейса,FALSE,
Yandex.Tank,Применение,Нагрузочное тестирование,FALSE,
Gatling,Применение,Нагрузочное тестирование,FALSE,
putsmail.com,Обкатка,Инструменты для тестирования, FALSE,
surge.sh,Обкатка,Инструменты для тестирования, FALSE,
